ObjectID,Artist,Nationality,Gender,Department,DateAcquired
3,Christian de Portzamparc,French,Male,Architecture & Design,1995
5,Bernard Tschumi,unknown,Male,Architecture & Design,1995
7,Bernard Tschumi,unknown,Male,Architecture & Design,1995
8,Bernard Tschumi,unknown,Male,Architecture & Design,1995
9,Bernard Tschumi,unknown,Male,Architecture & Design,1995
10,Bernard Tschumi,unknown,Male,Architecture & Design,1995
11,Bernard Tschumi,unknown,Male,Architecture & Design,1995
12,Bernard Tschumi,unknown,Male,Architecture & Design,1995
13,Bernard Tschumi,unknown,Male,Architecture & Design,1995
14,Bernard Tschumi,unknown,Male,Architecture & Design,1995
15,Bernard Tschumi,unknown,Male,Architecture & Design,1995
16,Bernard Tschumi,unknown,Male,Architecture & Design,1995
17,Bernard Tschumi,unknown,Male,Architecture & Design,1995
18,Bernard Tschumi,unknown,Male,Architecture & Design,1995
19,Bernard Tschumi,unknown,Male,Architecture & Design,1995
20,Bernard Tschumi,unknown,Male,Architecture & Design,1995
21,Bernard Tschumi,unknown,Male,Architecture & Design,1995
22,Bernard Tschumi,unknown,Male,Architecture & Design,1995
23,Bernard Tschumi,unknown,Male,Architecture & Design,1995
24,Bernard Tschumi,unknown,Male,Architecture & Design,1995
25,Bernard Tschumi,unknown,Male,Architecture & Design,1995
26,Bernard Tschumi,unknown,Male,Architecture & Design,1995
27,Bernard Tschumi,unknown,Male,Architecture & Design,1995
28,Bernard Tschumi,unknown,Male,Architecture & Design,1995
29,Bernard Tschumi,unknown,Male,Architecture & Design,1995
30,Bernard Tschumi,unknown,Male,Architecture & Design,1995
31,Bernard Tschumi,unknown,Male,Architecture & Design,1995
33,Bernard Tschumi,unknown,Male,Architecture & Design,1995
35,Bernard Tschumi,unknown,Male,Architecture & Design,1995
38,Bernard Tschumi,unknown,Male,Architecture & Design,1995
41,Bernard Tschumi,unknown,Male,Architecture & Design,1995
42,Bernard Tschumi,unknown,Male,Architecture & Design,1995
43,Bernard Tschumi,unknown,Male,Architecture & Design,1995
44,Bernard Tschumi,unknown,Male,Architecture & Design,1995
45,Bernard Tschumi,unknown,Male,Architecture & Design,1995
46,Bernard Tschumi,unknown,Male,Architecture & Design,1995
47,Bernard Tschumi,unknown,Male,Architecture & Design,1995
48,Bernard Tschumi,unknown,Male,Architecture & Design,1995
49,Bernard Tschumi,unknown,Male,Architecture & Design,1995
50,Bernard Tschumi,unknown,Male,Architecture & Design,1995
52,Bernard Tschumi,unknown,Male,Architecture & Design,1995
54,Bernard Tschumi,unknown,Male,Architecture & Design,1995
55,Bernard Tschumi,unknown,Male,Architecture & Design,1995
56,Bernard Tschumi,unknown,Male,Architecture & Design,1995
57,Bernard Tschumi,unknown,Male,Architecture & Design,1995
58,Bernard Tschumi,unknown,Male,Architecture & Design,1995
59,Bernard Tschumi,unknown,Male,Architecture & Design,1995
60,Bernard Tschumi,unknown,Male,Architecture & Design,1995
61,Bernard Tschumi,unknown,Male,Architecture & Design,1995
62,Bernard Tschumi,unknown,Male,Architecture & Design,1995
63,Bernard Tschumi,unknown,Male,Architecture & Design,1995
64,Bernard Tschumi,unknown,Male,Architecture & Design,1995
65,Bernard Tschumi,unknown,Male,Architecture & Design,1995
66,Bernard Tschumi,unknown,Male,Architecture & Design,1995
67,Bernard Tschumi,unknown,Male,Architecture & Design,1995
68,Bernard Tschumi,unknown,Male,Architecture & Design,1995
220,Raimund Abraham,American,Male,Architecture & Design,1995
283,Alessandro Mendini,Italian,Male,Architecture & Design,1975
307,Raimund Abraham,American,Male,Architecture & Design,1965
308,Raimund Abraham,American,Male,Architecture & Design,1965
309,Kenneth Snelson,American,Male,Architecture & Design,1965
443,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
447,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
451,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
455,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
459,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
463,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
467,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
471,"Ricardo Bofill, Gregory Baird, Rogelio Jimenez",Spanish  ,(Male) (Male) (Male),Architecture & Design,1985
475,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
479,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
486,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
490,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
495,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
500,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
505,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
510,Ricardo Bofill,Spanish,Male,Architecture & Design,1985
515,Iakov Chernikhov,Russian,Male,Architecture & Design,1985
521,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
527,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
532,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
536,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
540,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
544,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
548,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
552,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
555,Leon Krier,Luxembourgish,Male,Architecture & Design,1985
558,Le Corbusier (Charles-Édouard Jeanneret),French,Male,Architecture & Design,1985
561,Paul Rudolph,American,Male,Architecture & Design,1985
564,Paul Rudolph,American,Male,Architecture & Design,1985
567,Paul Rudolph,American,Male,Architecture & Design,1985
570,Paul Rudolph,American,Male,Architecture & Design,1985
656,Richard Neutra,American,Male,Architecture & Design,1985
657,Richard Neutra,American,Male,Architecture & Design,1985
776,Ludwig Mies van der Rohe,American,Male,Architecture & Design,1965
1029,Philip Johnson,American,Male,Architecture & Design,1985
1074,"Asymptote Architecture, New York, Hani Rashid, Lise Anne Couture", Canadian Canadian,() (Male) (Female),Architecture & Design,1995
1461,"George Dodson, Akzo Nobel Geosynthetics Company, Asheville, NC", American,(Male) (),Architecture & Design,1995
1473,Giorgio Berretti,Italian,Male,Architecture & Design,1995
1474,Giorgio Berretti,Italian,Male,Architecture & Design,1995
1475,Giorgio Berretti,Italian,Male,Architecture & Design,1995
1476,Giorgio Berretti,Italian,Male,Architecture & Design,1995
1482,Alexander Girard,American,Male,Architecture & Design,1975
1488,Marco Ferreri,Italian,Male,Architecture & Design,1995
1500,Marguerite Wildenhain,American,Female,Architecture & Design,1995
1512,Kazuo Kawasaki,Japanese,Male,Architecture & Design,1995
1520,Makoto Komatsu,Japanese,Male,Architecture & Design,1995
1529,Ross Lovegrove,British,Male,Architecture & Design,1995
1543,"Synthetic Industries, Chattanooga, TN",American,unknown,Architecture & Design,1995
1552,"Synthetic Industries, Chattanooga, TN",American,unknown,Architecture & Design,1995
1561,"Synthetic Industries, Chattanooga, TN",American,unknown,Architecture & Design,1995
1571,"Synthetic Industries, Chattanooga, TN",American,unknown,Architecture & Design,1995
1582,"Synthetic Industries, Chattanooga, TN",American,unknown,Architecture & Design,1995
1593,Kristian Vedel,Danish,Male,Architecture & Design,1995
1601,"Massimo Vignelli, Lella Vignelli, David Law",Italian Italian American,(Male) (Female) (Male),Architecture & Design,1995
1610,Toots Zynsky,American,Female,Architecture & Design,1995
2041,W. Archibald Welden,American,Male,Architecture & Design,1985
2262,Rodolfo Bretzel,Italian,Male,Architecture & Design,1995
2269,Thomas Eriksson,Swedish,Male,Architecture & Design,1995
2276,Kaj Franck,Finnish,Male,Architecture & Design,1995
2283,James Prestini,American,Male,Architecture & Design,1945
2290,James Prestini,American,Male,Architecture & Design,1945
2497,Jean Nouvel,French,Male,Architecture & Design,1995
2506,"C. Hugo Pott, Solingen, Germany",unknown,Male,Architecture & Design,1995
2508,Bruno Mathsson,Swedish,Male,Architecture & Design,1955
2510,Vincent de Rijk,Dutch,Male,Architecture & Design,1995
2513,Edward Wormley,American,Male,Architecture & Design,1955
2516,Alejandro Ruiz,Argentine,Male,Architecture & Design,1995
2520,Arne Jacobsen,Danish,Male,Architecture & Design,1955
2522,"Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini, Cristiano Toraldo di Francia",Italian Italian Italian Italian Italian Italian,() (Male) (Male) (Male) (Male) (Male),Architecture & Design,1995
2524,Arne Jacobsen,Danish,Male,Architecture & Design,1955
2526,Hans Wegner,Danish,Male,Architecture & Design,1995
2528,Hans Wegner,Danish,Male,Architecture & Design,1955
2530,Eva Zeisel,American,Female,Architecture & Design,1995
2532,Ronald Hayes Pearson,American,Male,Architecture & Design,1955
2534,Eva Zeisel,American,Female,Architecture & Design,1995
2535,Eva Zeisel,American,Female,Architecture & Design,1995
2537,Wilhelm Wagenfeld,German,Male,Architecture & Design,1955
2540,Kaj Franck,Finnish,Male,Architecture & Design,1955
2541,Kaj Franck,Finnish,Male,Architecture & Design,1955
2542,Kaj Franck,Finnish,Male,Architecture & Design,1955
2543,Kaj Franck,Finnish,Male,Architecture & Design,1955
2544,Kaj Franck,Finnish,Male,Architecture & Design,1955
2548,The Stanley Works,American,unknown,Architecture & Design,1955
2552,"The Aluminum Cooking Utensil Co., New York, NY",American,unknown,Architecture & Design,1955
2555,Thomas Lamb,American,Male,Architecture & Design,1955
2558,Irving Harper,American,Male,Architecture & Design,1955
2828,Allen John Bootroyd,British,Male,Architecture & Design,1975
2838,Deirdre Burnett,British,Female,Architecture & Design,1975
2848,Deirdre Burnett,British,Female,Architecture & Design,1975
2855,Deirdre Burnett,British,Female,Architecture & Design,1975
2874,Claire Wagner Kosterlitz,American,Female,Architecture & Design,1965
2875,Simon Fussell,British,Male,Architecture & Design,1975
2885,Claire Wagner Kosterlitz,American,Female,Architecture & Design,1965
2886,"Maria Benktzon, Sven-Eric Juhlin",Swedish Swedish,(Female) (Male),Architecture & Design,1975
2895,Moshe Zabari,American,Male,Architecture & Design,1965
2896,"Gustav Lepschy, Ernst Lieser, Kurt Steisslinger",German Swedish German,(Male) (Male) (Male),Architecture & Design,1975
2906,"Arteluce S.A., Milan",unknown,unknown,Architecture & Design,1965
2907,Gaetano Pesce,Italian,Male,Architecture & Design,1975
2916,"Arteluce S.A., Milan",unknown,unknown,Architecture & Design,1965
2918,Jacqueline Poncelet,British,Female,Architecture & Design,1975
2932,Sergio Asti,Italian,Male,Architecture & Design,1965
2933,Jacqueline Poncelet,British,Female,Architecture & Design,1975
2941,Antonia Campi,Italian,Female,Architecture & Design,1965
2950,Ludovico Mares,Italian,Male,Architecture & Design,1965
2960,Bruno Munari,Italian,Male,Architecture & Design,1965
2961,Louis Comfort Tiffany,American,Male,Architecture & Design,1975
2970,Bruno Munari,Italian,Male,Architecture & Design,1965
2971,Frank Lloyd Wright,American,Male,Architecture & Design,1975
2980,Bruno Munari,Italian,Male,Architecture & Design,1965
2989,Enzo Mari,Italian,Male,Architecture & Design,1965
2998,Bruno Munari,Italian,Male,Architecture & Design,1965
3012,Tobia Scarpa,Italian,Male,Architecture & Design,1965
3021,Massimo Vignelli,Italian,Male,Architecture & Design,1965
3032,Anni Albers,American,Female,Architecture & Design,1965
3040,"Donald Genaro, Henry Dreyfuss, Bell Telephone Laboratories",American American American,(Male) (Male) (),Architecture & Design,1965
3047,Paul Mayen,American,Male,Architecture & Design,1965
3054,Ed Rossbach,American,Male,Architecture & Design,1965
3060,David Rowland,American,Male,Architecture & Design,1965
3066,David Rowland,American,Male,Architecture & Design,1965
3071,David Rowland,American,Male,Architecture & Design,1965
3238,"Robert Venturi, Denise Scott Brown",American American,(Male) (Female),Architecture & Design,1985
3389,"Ergonomi Design Gruppen (now Veryday), Maria Benktzon, Håkan Bergkvist, Sven-Eric Juhlin",Swedish Swedish Swedish Swedish,() (Female) (Male) (Male),Architecture & Design,1985
3395,Marcel Breuer,American,Male,Architecture & Design,1985
3401,Marcel Breuer,American,Male,Architecture & Design,1985
3407,Marcel Breuer,American,Male,Architecture & Design,1985
3411,Achille Castiglioni,Italian,Male,Architecture & Design,1985
3414,Paul Chaleff,American,Male,Architecture & Design,1985
3418,Morison S. Cousins,American,Male,Architecture & Design,1985
3422,Gianfranco Frattini,Italian,Male,Architecture & Design,1985
3426,Gianfranco Frattini,Italian,Male,Architecture & Design,1985
3430,Gianfranco Frattini,Italian,Male,Architecture & Design,1985
3435,Udo M. Geissler,German,unknown,Architecture & Design,1985
3439,Karl Koepping,German,Male,Architecture & Design,1985
3442,M & Co,American,unknown,Architecture & Design,1985
3446,"Maria Martinez, Popovi Da",American American,(Female) (Male),Architecture & Design,1985
3450,Robert Michel,German,Male,Architecture & Design,1985
3454,Enzo Mari,Italian,Male,Architecture & Design,1985
3458,"National Semiconductor Corporation, USA",American,unknown,Architecture & Design,1985
3462,Otto Prutscher,Austrian,Male,Architecture & Design,1985
3466,Gerrit Rietveld,Dutch,Male,Architecture & Design,1985
3469,Ed Rossbach,American,Male,Architecture & Design,1985
3472,"Colin Schuster, Craig Schuster",Australian Australian,(Male) (Male),Architecture & Design,1985
3476,Nikolai Suetin,Russian,Male,Architecture & Design,1985
3695,Nikolai Suetin,Russian,Male,Architecture & Design,1985
3698,Lucien Vlerick,Belgian,Male,Architecture & Design,1985
3701,Toots Zynsky,American,Female,Architecture & Design,1985
3704,Toots Zynsky,American,Female,Architecture & Design,1985
4133,Dieter Rams,German,Male,Architecture & Design,1965
4134,"Dieter Rams, Ulm Hochschule für Gestaltung",German German,(Male) (),Architecture & Design,1965
4135,Dieter Rams,German,Male,Architecture & Design,1965
4136,Dieter Rams,German,Male,Architecture & Design,1965
4137,Dolores Dembus Bittleman,American,Female,Architecture & Design,1965
4138,"Gertrud Natzler, Otto Natzler",American American,(Female) (Male),Architecture & Design,1965
4139,Louis Comfort Tiffany,American,Male,Architecture & Design,1965
4217,Cliff Chi,American,Male,Architecture & Design,1995
4218,Kaj Franck,Finnish,Male,Architecture & Design,1995
4220,Kaj Franck,Finnish,Male,Architecture & Design,1995
4221,René Herbst,French,Male,Architecture & Design,1995
4222,Saara Hopea,Finnish,Female,Architecture & Design,1995
4223,Charles B. Kaufmann,American,Male,Architecture & Design,1995
4224,Enzo Mari,Italian,Male,Architecture & Design,1995
4225,Enzo Mari,Italian,Male,Architecture & Design,1995
4226,Roberto Sambonet,Italian,Male,Architecture & Design,1995
4227,Timo Sarpaneva,Finnish,Male,Architecture & Design,1995
4228,Timo Sarpaneva,Finnish,Male,Architecture & Design,1995
4229,Timo Sarpaneva,Finnish,Male,Architecture & Design,1995
4531,"Dieter Rams, Reinhold Weiss, Dietrich Lubs",German German German,(Male) (Male) (Male),Architecture & Design,1965
4533,Reinhold Weiss,German,Male,Architecture & Design,1965
4535,Reinhold Weiss,German,Male,Architecture & Design,1965
4537,Giorgio Soavi,Italian,Male,Architecture & Design,1965
4539,Paul Mayen,American,Male,Architecture & Design,1965
4541,Paul Mayen,American,Male,Architecture & Design,1965
4543,Paul Mayen,American,Male,Architecture & Design,1965
4545,Paul Mayen,American,Male,Architecture & Design,1965
4547,Paul Mayen,American,Male,Architecture & Design,1965
4549,Paul Mayen,American,Male,Architecture & Design,1965
4551,"Massimo Vignelli, Lella Vignelli",Italian Italian,(Male) (Female),Architecture & Design,1965
4553,Michael Lax,American,Male,Architecture & Design,1965
4554,Michael Lax,American,Male,Architecture & Design,1965
4555,Michael Lax,American,Male,Architecture & Design,1965
4780,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
4782,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
4784,Adolph Treidler,American,Male,Architecture & Design,1945
4785,Adolph Treidler,American,Male,Architecture & Design,1945
4787,James H. Dougherty,Nationality unknown,Male,Architecture & Design,1945
4790,Fred J. Hoertz,Nationality unknown,Male,Architecture & Design,1945
4792,William Dodge Stevens,American,Male,Architecture & Design,1945
4793,Joseph Pennell,American,Male,Architecture & Design,1945
4795,Howard Giles,American,Male,Architecture & Design,1945
4796,C. B. Falls,American,unknown,Architecture & Design,1945
4797,George Hand Wright,American,Male,Architecture & Design,1945
4799,"Bureau, Donald Moffett, Marlene McCarty",American American American,() (Male) (Female),Architecture & Design,1995
4800,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
4802,Pierre Mendell,German,Male,Architecture & Design,1995
4803,Townsend,Nationality unknown,unknown,Architecture & Design,1945
4804,Pierre Mendell,German,Male,Architecture & Design,1995
4805,Abram Games,British,Male,Architecture & Design,1945
4807,Pierre Mendell,German,Male,Architecture & Design,1995
4808,Abram Games,British,Male,Architecture & Design,1945
4809,Donald Moffett,American,Male,Architecture & Design,1995
4810,Abram Games,British,Male,Architecture & Design,1945
4812,Abram Games,British,Male,Architecture & Design,1945
4813,Abram Games,British,Male,Architecture & Design,1945
4814,Abram Games,British,Male,Architecture & Design,1945
4816,Abram Games,British,Male,Architecture & Design,1945
4817,Abram Games,British,Male,Architecture & Design,1945
4820,Abram Games,British,Male,Architecture & Design,1945
4823,Abram Games,British,Male,Architecture & Design,1945
4826,Abram Games,British,Male,Architecture & Design,1945
4828,Abram Games,British,Male,Architecture & Design,1945
4830,Abram Games,British,Male,Architecture & Design,1945
4832,Abram Games,British,Male,Architecture & Design,1945
4834,Abram Games,British,Male,Architecture & Design,1945
4836,Abram Games,British,Male,Architecture & Design,1945
4838,Abram Games,British,Male,Architecture & Design,1945
4840,Abram Games,British,Male,Architecture & Design,1945
4843,Abram Games,British,Male,Architecture & Design,1945
4846,Unknown Designer,British,unknown,Architecture & Design,1945
4849,Peter Ray,British,Male,Architecture & Design,1945
4852,Gordon Cullen,British,Male,Architecture & Design,1945
4855,Unknown Designer,British,unknown,Architecture & Design,1945
4861,Unknown Designer,British,unknown,Architecture & Design,1945
4865,Zero (Hans Schleger),British,Male,Architecture & Design,1945
4869,Zero (Hans Schleger),British,Male,Architecture & Design,1945
4872,Zero (Hans Schleger),British,Male,Architecture & Design,1945
4878,Zero (Hans Schleger),British,Male,Architecture & Design,1945
4881,Zero (Hans Schleger),British,Male,Architecture & Design,1945
4884,Eric Henri Kennington,British,Male,Architecture & Design,1945
4887,Eric Henri Kennington,British,Male,Architecture & Design,1945
4890,Eric Henri Kennington,British,Male,Architecture & Design,1945
4893,Eric Henri Kennington,British,Male,Architecture & Design,1945
4896,Eric Henri Kennington,British,Male,Architecture & Design,1945
4900,Eric Henri Kennington,British,Male,Architecture & Design,1945
4905,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4911,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4914,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4918,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4921,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4924,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4927,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4930,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4934,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4938,Frederick H. K. Henrion,British,Male,Architecture & Design,1945
4944,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
4949,Donia Nachshen,British,Female,Architecture & Design,1945
4954,Donia Nachshen,British,Female,Architecture & Design,1945
4959,Donia Nachshen,British,Female,Architecture & Design,1945
4964,Thomas Eckersley,British,Male,Architecture & Design,1945
4968,Pat Keely,British,Male,Architecture & Design,1945
4973,Austin Cooper,British,Male,Architecture & Design,1945
4977,"Jan Lewitt, George Him",British British,(Male) (Male),Architecture & Design,1945
4982,Berger (?),British,unknown,Architecture & Design,1945
4986,"Jan Lewitt, George Him",British British,(Male) (Male),Architecture & Design,1945
4990,"Jan Lewitt, George Him",British British,(Male) (Male),Architecture & Design,1945
4994,"Jan Lewitt, George Him",British British,(Male) (Male),Architecture & Design,1945
4998,Austin Cooper,British,Male,Architecture & Design,1945
5004,Austin Cooper,British,Male,Architecture & Design,1945
5010,Barnett Freedman,British,Male,Architecture & Design,1945
5015,Barnett Freedman,British,Male,Architecture & Design,1945
5021,Zero (Hans Schleger),British,Male,Architecture & Design,1945
5026,Maurice Man,British,Male,Architecture & Design,1945
5031,Austin Cooper,British,Male,Architecture & Design,1945
5036,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
5041,Austin Cooper,British,Male,Architecture & Design,1945
5047,Austin Cooper,British,Male,Architecture & Design,1945
5052,Unknown Designer,British,unknown,Architecture & Design,1945
5057,Unknown Designer,British,unknown,Architecture & Design,1945
5062,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1945
5066,Maurice Man,British,Male,Architecture & Design,1945
5070,Berger (?),British,unknown,Architecture & Design,1945
5074,Bruce Angrave,British,Male,Architecture & Design,1945
5079,H. A. Rothholz,British,Male,Architecture & Design,1945
5084,H. A. Rothholz,British,Male,Architecture & Design,1945
5088,H. A. Rothholz,British,Male,Architecture & Design,1945
5091,Theyre Lee-Elliott,British,Male,Architecture & Design,1945
5094,Theyre Lee-Elliott,British,Male,Architecture & Design,1945
5097,Theyre Lee-Elliott,British,Male,Architecture & Design,1945
5100,Thomas Eckersley,British,Male,Architecture & Design,1945
5103,Thomas Eckersley,British,Male,Architecture & Design,1945
5107,Thomas Eckersley,British,Male,Architecture & Design,1945
5110,Thomas Eckersley,British,Male,Architecture & Design,1945
5113,Thomas Eckersley,British,Male,Architecture & Design,1945
5117,Pat Keely,British,Male,Architecture & Design,1945
5120,Pat Keely,British,Male,Architecture & Design,1945
5122,Cudsen,British,unknown,Architecture & Design,1945
5124,Cudsen,British,unknown,Architecture & Design,1945
5128,George Morris,British,Male,Architecture & Design,1945
5132,George Morris,British,Male,Architecture & Design,1945
5135,George Morris,British,Male,Architecture & Design,1945
5225,Arribas,Spanish,unknown,Architecture & Design,1995
5235,Arturo Ballester,Spanish,Male,Architecture & Design,1995
5245,Arturo Ballester,Spanish,Male,Architecture & Design,1995
5257,Boni,Spanish,unknown,Architecture & Design,1995
5268,J. Briones,Spanish,unknown,Architecture & Design,1995
5277,Antonio Cañavate Gómez,Spanish,Male,Architecture & Design,1995
5286,Art Chantry,American,Male,Architecture & Design,1995
5297,Art Chantry,American,Male,Architecture & Design,1995
5307,Art Chantry,American,Male,Architecture & Design,1995
5315,Art Chantry,American,Male,Architecture & Design,1995
5325,Jose Espert,Spanish,Male,Architecture & Design,1995
5335,Francisco Rivero Gil,Spanish,Male,Architecture & Design,1995
5344,Melendreras,Spanish,unknown,Architecture & Design,1995
5353,Amado Mauprivez Oliver,Spanish,Male,Architecture & Design,1995
5365,Juan Parrilla,Spanish,Male,Architecture & Design,1995
5429,Josef Müller-Brockmann,Swiss,Male,Architecture & Design,1955
5436,Dick Elffers,Dutch,Male,Architecture & Design,1955
5443,Dick Elffers,Dutch,Male,Architecture & Design,1955
5450,Ernst Keller,Swiss,Male,Architecture & Design,1955
5457,Kilian Breier,German,Male,Architecture & Design,1955
5464,Henri Laurens,French,Male,Architecture & Design,1955
5471,Fernand Léger,French,Male,Architecture & Design,1955
5479,Herbert Leupin,Swiss,Male,Architecture & Design,1955
5486,Leo Lionni,American,Male,Architecture & Design,1955
5496,André Masson,French,Male,Architecture & Design,1955
5505,Joan Miró,Spanish,Male,Architecture & Design,1955
5515,Jacques Nathan-Garamond,French,Male,Architecture & Design,1955
5524,Hiroshi Ohchi,Japanese,Male,Architecture & Design,1955
5533,"Theo van Doesburg (Christian Emil Marie Küpper), Kurt Schwitters",Dutch German,(Male) (Male),Architecture & Design,1945
5535,Mario Russo,Italian,Male,Architecture & Design,1955
5543,Steiner,Swiss,unknown,Architecture & Design,1955
5551,Ezra Stoller,American,Male,Architecture & Design,1955
5560,Ezra Stoller,American,Male,Architecture & Design,1955
5567,Bjorn Wiinblad,Danish,Male,Architecture & Design,1955
5574,Bjorn Wiinblad,Danish,Male,Architecture & Design,1955
5581,Unknown Designer,Brazilian,unknown,Architecture & Design,1955
5589,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1955
5596,Unknown Designer,Swiss,unknown,Architecture & Design,1955
5603,Unknown Designer,Swiss,unknown,Architecture & Design,1955
5609,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1955
5806,Pavlos,Greek,Male,Architecture & Design,1975
5810,Saul Steinberg,American,Male,Architecture & Design,1975
5815,Robert Rauschenberg,American,Male,Architecture & Design,1975
5863,Gilbert Lesser,American,Male,Architecture & Design,1965
5868,Ward and Saks Co.,unknown,unknown,Architecture & Design,1965
5874,Herbert Migdoll,American,Male,Architecture & Design,1965
5880,Eugene Feldman,American,Male,Architecture & Design,1965
5886,"Marcel Duchamp, Sidney Janis",American American,(Male) (Male),Architecture & Design,1965
5892,George Einbeck,German,Male,Architecture & Design,1965
5896,Wolf Zimmerman,German,Male,Architecture & Design,1965
5902,Wolf Zimmerman,German,Male,Architecture & Design,1965
5908,Wolf Zimmerman,German,Male,Architecture & Design,1965
5914,Wolf Zimmerman,German,Male,Architecture & Design,1965
5917,Toshifumi Kawahara,Japanese,Male,Architecture & Design,1995
5920,Wolf Zimmerman,German,Male,Architecture & Design,1965
5926,Harry Suchland,German,Male,Architecture & Design,1965
5933,Hans Hillmann,German,Male,Architecture & Design,1965
5940,Hans Hillmann,German,Male,Architecture & Design,1965
5947,Hans Hillmann,German,Male,Architecture & Design,1965
5954,Hans Hillmann,German,Male,Architecture & Design,1965
5960,Christa Ehrlich,Dutch,Female,Architecture & Design,1935
5962,"Franz Fassler, Fred Mayer",Swiss Swiss,(Male) (Male),Architecture & Design,1965
5967,A. M. Cassandre,French,Male,Architecture & Design,1935
5969,Karl Gerstner,Swiss,Male,Architecture & Design,1965
5974,A. M. Cassandre,French,Male,Architecture & Design,1935
5976,Armin Hofmann,Swiss,Male,Architecture & Design,1965
5982,Fritz Kühn,German,Male,Architecture & Design,1965
5987,A. M. Cassandre,French,Male,Architecture & Design,1935
5991,Unknown Artist,Nationality Unknown,unknown,Architecture & Design,1965
5996,A. M. Cassandre,French,Male,Architecture & Design,1935
5998,Jules Chéret,French,Male,Architecture & Design,1965
6003,A. M. Cassandre,French,Male,Architecture & Design,1935
6005,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6010,A. M. Cassandre,French,Male,Architecture & Design,1935
6012,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6017,A. M. Cassandre,French,Male,Architecture & Design,1935
6020,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6021,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6022,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6023,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6024,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6029,A. M. Cassandre,French,Male,Architecture & Design,1935
6032,Massimo Vignelli,Italian,Male,Architecture & Design,1965
6036,A. M. Cassandre,French,Male,Architecture & Design,1935
6039,"Gerhard Forster, Ugo Mulas",Italian ,(Male) (Male),Architecture & Design,1965
6043,A. M. Cassandre,French,Male,Architecture & Design,1935
6046,Bruno Munari,Italian,Male,Architecture & Design,1965
6050,A. M. Cassandre,French,Male,Architecture & Design,1935
6056,A. M. Cassandre,French,Male,Architecture & Design,1935
6062,A. M. Cassandre,French,Male,Architecture & Design,1935
6073,A. M. Cassandre,French,Male,Architecture & Design,1935
6079,A. M. Cassandre,French,Male,Architecture & Design,1935
6085,A. M. Cassandre,French,Male,Architecture & Design,1935
6091,A. M. Cassandre,French,Male,Architecture & Design,1935
6097,A. M. Cassandre,French,Male,Architecture & Design,1935
6103,A. M. Cassandre,French,Male,Architecture & Design,1935
6109,A. M. Cassandre,French,Male,Architecture & Design,1935
6115,A. M. Cassandre,French,Male,Architecture & Design,1935
6618,Otto Baumberger,Swiss,Male,Architecture & Design,1985
6625,Max Bill,Swiss,Male,Architecture & Design,1985
